Long,Lat,Location,Climate ID,Province,Temp,Snow,Precip,year
-125.767,58.93,MUNCHO LAKE,1195250,BC,-13.7,64.0,72.6,2011
-123.093,49.171,RICHMOND NATURE PARK,1106PF7,BC,4.3,0.0,157.7,2011
-123.303,49.106,SANDHEADS CS,1107010,BC,5.1,,,2011
-123.122,49.295,VANCOUVER HARBOUR CS,1108446,BC,4.8,,255.6,2011
-123.182,49.195,VANCOUVER INT'L A,1108447,BC,4.2,16.1,186.3,2011
-123.193,49.347,WEST VANCOUVER AUT,1108824,BC,4.1,,417.0,2011
-122.947,50.068,WHISTLER ROUNDHOUSE,1108906,BC,-4.7,191.1,209.1,2011
-122.784,49.018,WHITE ROCK CAMPBELL SCIENTIFIC,1108910,BC,4.7,,244.2,2011
-122.967,49.438,N VAN SEYMOUR HATCHERY,110N666,BC,1.2,21.0,341.8,2011
-123.098,49.363,N VANC SONORA DR,110N6FF,BC,,9.0,326.9,2011
-121.494,49.37,HOPE (AUT),1113541,BC,2.6,,256.5,2011
-121.236,49.275,HOPE SLIDE,1113581,BC,-2.0,84.0,282.8,2011
-121.934,50.684,LILLOOET,1114619,BC,-1.7,,,2011
-121.582,50.224,LYTTON,1114739,BC,-0.5,,41.5,2011
-121.608,50.257,LYTTON 2,1114745,BC,,53.1,76.1,2011
-121.582,50.224,LYTTON RCS,1114746,BC,-0.7,,47.8,2011
-120.069,49.363,HEDLEY N,1123370,BC,-2.6,11.6,24.6,2011
-120.022,49.369,HEDLEY NP MINE,1123390,BC,-3.9,55.5,55.5,2011
-121.017,50.467,HIGHLAND VALLEY LORNEX,1123469,BC,-4.2,41.5,44.5,2011
-120.333,49.673,JELLICOE,1123721,BC,-4.6,69.8,83.4,2011
-119.378,49.957,KELOWNA,1123939,BC,-1.6,,19.3,2011
-119.573,49.842,KELOWNA QUAILS GATE,1123993,BC,-0.2,42.0,57.0,2011
-119.4,49.95,KELOWNA MWS0,11239R0,BC,-1.0,31.6,37.6,2011
-120.801,50.114,MERRITT STP,1125079,BC,-1.8,39.5,43.7,2011
-119.545,49.179,OLIVER STP,1125766,BC,-0.1,0.0,9.5,2011
-119.441,49.028,OSOYOOS CS,1125852,BC,-0.8,,,2011
-119.717,49.783,PEACHLAND,1126070,BC,0.3,44.0,61.4,2011
-119.602,49.463,PENTICTON A,1126150,BC,-0.2,13.8,24.2,2011
-120.512,49.468,PRINCETON A,1126510,BC,-4.7,36.0,53.0,2011
-119.194,50.223,VERNON AUTO,1128582,BC,-3.2,,66.3,2011
-123.087,49.179,RICHMOND DALLYN 2,1106764,BC,,13.0,204.2,2011
-119.27,50.344,VERNON NORTH,1128583,BC,-2.5,48.8,59.8,2011
-123.265,49.33,POINT ATKINSON,1106200,BC,5.1,,314.2,2011
-123.119,49.314,N VANCOUVER WHARVES,1105669,BC,,0.3,222.5,2011
-122.678,53.884,PRINCE GEORGE,1096439,BC,-9.5,,9.9,2011
-122.672,53.889,PRINCE GEORGE AIRPORT AUTO,1096453,BC,-8.3,,59.9,2011
-122.852,53.776,PRINCE GEORGE WEST LAKE,1096455,BC,-9.5,64.0,66.6,2011
-122.768,53.88,PRINCE GEORGE STP,1096468,BC,-7.5,88.5,96.9,2011
-122.51,53.026,QUESNEL,1096629,BC,-9.3,,35.9,2011
-122.506,53.027,QUESNEL AIRPORT AUTO,1096631,BC,-8.7,,61.0,2011
-121.686,52.184,SPOKIN LAKE 4E,1097646,BC,-7.9,81.0,86.6,2011
-122.054,52.183,WILLIAMS LAKE A,1098940,BC,-8.1,75.9,67.4,2011
-124.017,54.033,VANDERHOOF,1098D90,BC,-9.2,75.9,86.3,2011
-121.404,51.705,108 MILE HOUSE ABEL LAKE,109E7R6,BC,-6.2,56.0,57.4,2011
-122.36,49.025,ABBOTSFORD A,1100030,BC,3.7,24.2,328.2,2011
-121.76,49.243,AGASSIZ RCS,1100119,BC,3.2,,389.6,2011
-121.76,49.243,AGASSIZ CDA,1100120,BC,3.8,32.0,402.1,2011
-122.955,50.129,WHISTLER - NESTERS,1100875,BC,-2.1,,150.5,2011
-122.936,50.102,BLACKCOMB BASE SLIDING CENTER,1100881,BC,-2.5,,172.9,2011
-122.918,49.278,BURNABY SIMON FRASER U,1101158,BC,3.6,21.0,198.3,2011
-123.111,50.144,CALLAGHAN VALLEY,1101300,BC,-4.4,,162.0,2011
-122.717,49.1,CLOVERDALE EAST,1101708,BC,1.2,22.1,96.7,2011
-122.866,49.269,COQUITLAM COMO LAKE AVE,1101889,BC,,18.1,290.2,2011
-121.7,49.083,CHILLIWACK R HATCHERY,1101N65,BC,1.8,18.8,694.9,2011
-123.002,49.126,DELTA BURNS BOG,1102415,BC,3.8,,12.8,2011
-123.093,49.011,DELTA TSAWWASSEN BEACH,1102425,BC,5.4,16.0,188.6,2011
-122.551,49.144,FORT LANGLEY TELEGRAPH TRAIL,1102912,BC,3.8,12.5,296.4,2011
-122.558,49.204,HANEY EAST,1103326,BC,3.7,10.0,315.2,2011
-122.573,49.264,HANEY UBC RF ADMIN,1103332,BC,3.2,3.5,350.0,2011
-122.507,49.211,MAPLE RIDGE KANAKA CREEK,1104R02,BC,2.5,18.0,338.6,2011
-122.271,49.153,MISSION WEST ABBEY,1105192,BC,2.9,39.0,389.6,2011
-123.078,49.182,RICHMOND OPERATIONS CENTRE,1105210,BC,,,182.4,2011
-123.081,49.368,N VANC GROUSE MTN RESORT,1105658,BC,0.1,84.0,314.3,2011
-122.69,49.208,PITT MEADOWS CS,1106178,BC,3.0,,204.4,2011
-119.054,50.358,VERNON SILVER STAR LODGE,1128584,BC,-6.2,85.5,85.5,2011
-119.415,50.037,WINFIELD,1128958,BC,-0.9,26.2,35.0,2011
-120.512,49.468,PRINCETON CS,112FN0M,BC,-4.5,,,2011
-120.8,50.935,RED LAKE,1166658,BC,-5.1,75.0,75.2,2011
-120.979,51.845,RUTH LAKE,1166912,BC,-6.6,85.5,85.5,2011
-119.234,50.686,SALMON ARM A,1166R45,BC,-3.9,72.0,84.2,2011
-119.35,50.545,SILVER CREEK,1167337,BC,-4.2,75.7,88.6,2011
-119.556,50.835,TURTLE VALLEY,1168300,BC,-5.6,36.1,36.6,2011
-119.778,51.576,VAVENBY,1168520,BC,-5.9,61.8,71.4,2011
-119.751,50.469,WESTWOLD,1168880,BC,-3.9,15.0,20.2,2011
-120.2,50.6,KAMLOOPS PRATT ROAD,116C8P0,BC,-3.8,43.2,50.0,2011
-119.291,50.703,SALMON ARM CS,116FRMN,BC,-3.2,,,2011
-117.516,51.301,GLACIER NP ROGERS PASS,1173191,BC,-9.0,334.0,346.0,2011
-116.982,51.298,GOLDEN A,1173210,BC,-9.2,107.2,75.2,2011
-118.585,52.053,MICA DAM,1175122,BC,-5.3,279.0,279.0,2011
-118.183,50.961,REVELSTOKE A,1176749,BC,-3.7,,143.5,2011
-118.224,51.012,REVELSTOKE COLUMBIA PARK,1176754,BC,,180.0,180.0,2011
-116.345,51.443,YOHO PARK,11790J1,BC,-11.9,,,2011
-117.701,51.236,GLACIER NP MT FIDELITY,117CA90,BC,-9.0,384.0,384.0,2011
-116.54,51.434,YOHO NP EMERALD LAKE,117R00G,BC,,194.9,194.9,2011
-116.337,51.356,YOHO NP OHARA LAKE,117R00H,BC,-11.2,41.0,41.0,2011
-121.627,55.687,CHETWYND A,1181508,BC,-9.4,81.1,53.0,2011
-120.183,55.742,DAWSON CREEK A,1182289,BC,-10.4,,53.0,2011
-120.74,56.238,FORT ST JOHN A,1183000,BC,-11.7,58.9,58.9,2011
-124.701,55.786,GERMANSEN LANDING,1183090,BC,-12.9,58.5,65.3,2011
-123.133,55.299,MACKENZIE,1184791,BC,-9.0,,58.8,2011
-122.718,57.25,SIKANNI CHIEF,1187335,BC,-11.3,37.4,37.4,2011
-130.011,58.428,DEASE LAKE,1192340,BC,-14.5,,,2011
-122.597,58.836,FORT NELSON A,1192940,BC,-19.0,33.8,24.2,2011
-122.6,58.833,FORT NELSON UA,1192950,BC,-18.4,36.4,36.4,2011
-130.025,58.426,DEASE LAKE (AUT),119BLM0,BC,-14.4,,37.3,2011
-133.7,59.567,ATLIN,1200560,BC,-12.8,42.3,42.3,2011
-121.217,51.681,100 MILE HOUSE 6NE,1165793,BC,-10.7,73.2,74.6,2011
-120.442,50.702,KAMLOOPS AUT,1163842,BC,-3.6,,28.1,2011
-120.442,50.702,KAMLOOPS A,1163780,BC,-3.4,27.6,25.0,2011
-120.183,51.297,DARFIELD,1162265,BC,-4.9,51.0,60.2,2011
-119.638,49.564,SUMMERLAND CS,112G8L1,BC,-1.2,,,2011
-118.773,49.0,MIDWAY,1135126,BC,-4.3,30.0,36.8,2011
-118.228,49.017,BILLINGS,1140876,BC,-2.7,26.8,39.4,2011
-117.633,49.296,CASTLEGAR A,1141455,BC,-2.4,60.0,73.0,2011
-117.774,49.343,CASTLEGAR BCHPA DAM,1141457,BC,-1.1,34.0,67.0,2011
-116.518,49.097,CRESTON,1142160,BC,-1.6,59.0,88.8,2011
-116.971,50.239,DUNCAN LAKE DAM,1142574,BC,-3.5,98.0,171.1,2011
-116.915,49.913,KASLO,1143900,BC,-2.0,88.8,154.8,2011
-117.813,50.266,NAKUSP CS,1145297,BC,-1.7,,,2011
-117.206,49.586,NELSON NE,1145442,BC,-0.7,72.8,137.8,2011
-117.37,49.996,NEW DENVER,1145460,BC,-1.9,89.4,161.2,2011
-117.305,49.491,NELSON CS,1145M29,BC,-1.2,,,2011
-117.739,49.112,WARFIELD RCS,1148705,BC,-2.9,,104.6,2011
-116.501,49.082,CRESTON CAMPBELL SCIENTIFIC,114B1F0,BC,-2.0,,5.1,2011
-122.287,52.53,MCLEESE LAKE GRANITE MT,1095018,BC,-7.1,82.7,87.3,2011
-117.399,49.512,NELSON RIXEN CREEK,114EMDM,BC,-3.0,77.2,121.0,2011
-115.072,49.489,FERNIE,1152850,BC,-4.3,52.5,217.3,2011
-114.855,50.149,FORDING RIVER COMINCO,1152899,BC,-11.4,55.4,55.4,2011
-115.461,49.524,FT STEELE DANDY CRK,1153034,BC,-4.7,29.0,38.8,2011
-115.962,49.631,KIMBERLEY PCC,1154203,BC,-6.4,25.8,25.8,2011
-116.061,50.631,KOOTENAY NP WEST GATE,1154410,BC,-7.0,53.2,69.6,2011
-114.883,49.745,SPARWOOD,1157630,BC,-6.4,70.9,78.3,2011
-114.886,49.745,SPARWOOD CS,1157631,BC,-6.6,,,2011
-115.631,49.824,WASA,1158730,BC,-5.0,27.0,32.8,2011
-121.281,50.708,ASHCROFT,1160515,BC,-3.6,,,2011
-119.29,52.129,BLUE RIVER A,1160899,BC,-7.2,182.3,163.2,2011
-119.29,52.129,BLUE RIVER CS,1160H99,BC,-7.2,,,2011
-121.083,51.708,BUFFALO LAKE,1161104,BC,-7.4,63.2,64.2,2011
-121.505,51.145,CLINTON (AUT),1161661,BC,-6.6,,38.0,2011
-120.728,51.03,CRISS CREEK,1162177,BC,-7.0,48.2,48.8,2011
-115.782,49.612,CRANBROOK A,1152102,BC,-5.7,47.2,38.8,2011
-121.364,52.363,HORSEFLY LAKE GRUHS LAKE,1093600,BC,-7.9,116.2,116.7,2011
-124.286,54.455,FORT ST JAMES,1092970,BC,-7.7,23.1,28.7,2011
-125.959,54.383,BURNS LAKE DECKER LAKE,1091174,BC,-11.0,,37.2,2011
-125.993,50.454,FANNY ISLAND,1022795,BC,1.9,,103.6,2011
-123.734,49.154,GABRIOLA ISLAND,1023042,BC,3.9,2.2,108.7,2011
-125.203,50.099,HERIOT BAY SE,1023462,BC,3.2,16.8,243.8,2011
-125.606,49.576,MYRA CREEK,1025254,BC,0.3,28.0,165.8,2011
-123.87,49.054,NANAIMO A,1025370,BC,3.4,36.2,140.6,2011
-123.988,49.199,NANAIMO CITY YARD,10253G0,BC,,86.0,179.0,2011
-127.728,50.976,PINE ISLAND,1026170,BC,5.1,10.0,278.0,2011
-127.366,50.68,PORT HARDY A,1026270,BC,3.9,19.8,260.2,2011
-124.394,49.337,QUALICUM BEACH AIRPORT,1026562,BC,3.5,,87.0,2011
-124.617,49.394,QUALICUM R FISH RESEARCH,1026565,BC,4.0,21.6,157.2,2011
-125.304,50.016,QUINSAM RIVER HATCHERY,1026639,BC,2.2,29.5,205.5,2011
-124.435,49.487,SISTERS ISLAND,1027403,BC,5.6,,,2011
-123.809,49.209,ENTRANCE ISLAND,102BFHH,BC,5.5,1.0,102.4,2011
-124.982,49.337,ALBERNI ROBERTSON CREEK,1030230,BC,0.9,34.0,211.9,2011
-125.216,48.786,CAPE BEALE LIGHT,1031316,BC,5.7,0.0,369.2,2011
-128.427,50.782,CAPE SCOTT,1031353,BC,5.0,8.5,374.5,2011
-124.751,48.612,CARMANAH POINT,1031402,BC,,12.6,398.5,2011
-126.418,49.8,CONUMA RIVER HATCHERY,1031844,BC,,0.0,0.0,2011
-126.551,49.384,ESTEVAN POINT,1032730,BC,5.6,1.0,362.0,2011
-126.543,49.383,ESTEVAN POINT CS,1032731,BC,5.5,,341.2,2011
-126.055,49.779,GOLD RIVER TOWNSITE,1033232,BC,1.8,14.0,380.7,2011
-125.923,49.111,LENNARD ISLAND,1034600,BC,,0.2,381.8,2011
-124.655,48.859,NITINAT RIVER HATCHERY,1035612,BC,3.9,5.5,551.5,2011
-126.617,49.6,NOOTKA LIGHTSTATION,1035614,BC,5.2,0.0,491.5,2011
-125.097,48.723,PACHENA POINT,1035940,BC,5.4,29.2,422.2,2011
-124.752,49.202,PORT ALBERNI COX LAKE,1036208,BC,3.1,4.4,243.4,2011
-127.453,50.386,PORT ALICE,1036240,BC,5.3,13.0,259.6,2011
-127.654,50.533,QUATSINO,1036570,BC,4.2,0.5,271.0,2011
-128.033,50.441,QUATSINO LIGHTSTATION,1036572,BC,5.9,11.0,261.8,2011
-123.811,49.209,ENTRANCE ISLAND,1022689,BC,5.4,,99.2,2011
-125.033,49.686,COURTENAY PUNTLEDGE,1021989,BC,2.7,2.0,80.3,2011
-124.999,49.763,COURTENAY GRANTHAM,1021988,BC,3.0,34.0,134.0,2011
-124.949,50.071,CORTES ISLAND TIBER BAY,1021960,BC,3.2,20.0,167.2,2011
-124.052,48.829,LAKE COWICHAN,1012055,BC,3.3,14.4,206.6,2011
-123.225,48.424,DISCOVERY ISLAND,1012475,BC,5.6,,,2011
-123.728,48.735,DUNCAN KELVIN CREEK,1012573,BC,3.2,53.2,206.0,2011
-123.439,48.432,ESQUIMALT HARBOUR,1012710,BC,4.6,,181.6,2011
-123.573,48.985,GALIANO NORTH,10130MN,BC,4.6,10.4,143.0,2011
-123.53,48.575,MALAHAT,1014820,BC,2.8,,,2011
-123.561,48.374,METCHOSIN,1015105,BC,,10.4,198.2,2011
-123.718,48.824,NORTH COWICHAN,1015628,BC,,1.0,97.2,2011
-123.719,48.824,NORTH COWICHAN,1015630,BC,3.4,,154.5,2011
-123.287,48.764,NORTH PENDER ISLAND,1015638,BC,4.7,29.5,148.1,2011
-124.326,48.591,PORT RENFREW,1016335,BC,4.2,8.5,661.5,2011
-123.419,48.622,SAANICHTON CDA,1016940,BC,4.3,0.0,158.5,2011
-123.546,48.888,SALTSPRING ST MARY'S L,1016995,BC,4.3,25.0,128.4,2011
-123.427,48.598,SAANICHTON MT NEWTON,1016RM0,BC,,18.0,162.4,2011
