Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,year
-123.742,48.935,CHEMAINUS,1011500,BC,20.1,2.0,,32.5,2.0,12.0,2.0,0.0,2.0,,12.5,2.0,,0.0,2.0,,,,5.8,67.9,2018
-124.052,48.829,LAKE COWICHAN,1012055,BC,19.8,14.0,1.8,36.5,10.0,7.0,9.0,0.0,30.0,,7.4,26.0,,,3.0,,,,6.1,37.3,2018
-123.226,48.425,DISCOVERY ISLAND,1012475,BC,,,,26.3,0.0,,,,,,,,,,,,,,,,2018
-123.439,48.432,ESQUIMALT HARBOUR,1012710,BC,16.3,0.0,,25.8,0.0,11.7,0.0,,,,2.0,0.0,,,1.0,,,,57.0,2.9,2018
-123.573,48.985,GALIANO NORTH,10130MN,BC,18.8,1.0,,30.0,1.0,12.0,1.0,0.0,1.0,,4.8,1.0,,0.0,2.0,,,,12.0,36.6,2018
-123.53,48.575,MALAHAT,1014820,BC,19.4,1.0,,32.6,1.0,10.8,1.0,,,,6.4,1.0,,,1.0,,,,20.0,60.7,2018
-123.561,48.374,METCHOSIN,1015105,BC,,,,,,,,0.0,11.0,,0.6,11.0,,0.0,0.0,,,,,,2018
-123.718,48.824,NORTH COWICHAN,1015628,BC,,,,,,,,0.0,0.0,,2.8,0.0,9.0,0.0,1.0,,,,,,2018
-123.719,48.824,NORTH COWICHAN,1015630,BC,19.0,0.0,,34.2,0.0,8.2,0.0,,,,2.1,0.0,,,1.0,,,,18.6,50.3,2018
-123.287,48.764,NORTH PENDER ISLAND,1015638,BC,19.4,2.0,,34.5,2.0,11.0,2.0,0.0,2.0,,2.0,2.0,,0.0,0.0,,,,13.2,53.5,2018
-123.531,48.298,RACE ROCKS,1016640,BC,14.6,2.0,,24.9,2.0,9.6,2.0,,,,,,,,,,,,100.0,1.5,2018
-123.419,48.622,SAANICHTON CDA,1016940,BC,17.8,2.0,0.7,31.0,1.0,10.0,1.0,0.0,1.0,,0.4,1.0,,0.0,0.0,,,,32.0,27.0,2018
-123.546,48.888,SALTSPRING ST MARY'S L,1016995,BC,20.0,0.0,1.7,30.5,0.0,13.0,0.0,0.0,0.0,,3.2,0.0,11.0,0.0,2.0,,,,4.9,68.1,2018
-123.128,48.775,SATURNA CAPMON CS,1017099,BC,,,,,,,,,,,0.5,0.0,,,0.0,,,,,,2018
-123.045,48.784,SATURNA ISLAND CS,1017101,BC,17.8,0.0,,27.2,0.0,11.6,0.0,,,,1.4,0.0,,,1.0,,,,28.0,20.7,2018
-123.626,48.647,SHAWNIGAN LAKE,1017230,BC,19.3,0.0,1.5,33.5,0.0,10.5,0.0,0.0,0.0,,6.6,0.0,24.0,0.0,1.0,,,,11.6,52.9,2018
-123.305,48.457,VICTORIA UNIVERSITY CS,1018598,BC,17.7,0.0,,31.4,0.0,9.5,0.0,,,,1.5,0.0,,,0.0,,,,33.7,24.2,2018
-123.325,48.413,VICTORIA GONZALES CS,1018611,BC,16.5,0.0,,27.2,0.0,10.9,0.0,,,,2.0,0.0,,,1.0,,,,53.1,7.2,2018
